stock_id,stock_name,reason
1103,¹Åªd,°£®§
1201,¨ý¥þ,°£®§
1216,²Î¤@,°£®§
1310,¥x­f,Á{®É·|
1442,¦W°a,°£®§
1463,±j²±,°£®§
1467,«n½n,°£®§
1513,¤¤¿³¹q,°£®§
1608,µØºa,°£®§
2024,§ÓÁp,°£®§
2027,¤j¦¨¿û,²{ª÷¼W¸ê
2228,¼CÅï,°£®§
2236,¦Ê¹F-KY,°£®§
2247,¦Æ¼w¥Ã·~,°£®§
2331,ºë­^,°£®§
2337,©ô§»,°£®§
2374,¨Î¯à,°£®§
2379,·ç¬R,°£®§
2414,ºë§Þ,°£®§
2505,°ê´­,°£®§
2615,¸U®ü,°£Åv®§
2618,ªøºa¯è,¨ä¥L
2834,»O¥ø»È,°£Åv®§
2836,°ª¶¯»È,°£Åv®§
2852,²Ä¤@«O,°£®§
2887,¥x·sª÷,°£Åv®§
2912,²Î¤@¶W,°£®§
3048,¯qµn,°£Åv®§
3661,¥@ªä-KY,°£®§
4532,·ç´¼,°£®§
4555,®ð¥ß,°£®§
4720,¼w²W,°£Åv
4943,±d±±-KY,°£®§
5521,¤u«H,°£Åv®§
5880,¦X®wª÷,°£Åv
6141,¬f©Ó,°£®§
6166,­âµØ,°£®§
6416,·ç¸R¹q³q,°£®§
6449,à±¨¹,°£®§
6641,°ò¤h¼w-KY,²{ª÷¼W¸ê
8261,´I¹©,°£®§
